,object_ID,Centroid_X,Centroid_Y,TimePoint,Track_ID
461,462,151.11298076923077,412.12159455128204,22,0
462,463,250.51291989664082,445.2153931339978,22,0
463,464,408.7403314917127,420.0132596685083,22,0
464,465,469.6913451511992,457.13660062565174,22,0
465,466,697.9835790884719,488.232908847185,22,0
466,467,447.64689935615047,516.9918671636733,22,0
467,468,323.49950083194676,525.4841930116472,22,0
468,469,535.8676854267611,526.5322400298173,22,0
469,470,642.4181651935386,571.8497409326425,22,0
470,471,320.7745440434614,616.919285991463,22,0
471,472,413.0470901821413,654.9902265659707,22,0
472,473,630.2307692307693,692.7747692307693,22,0
473,474,523.3074565883554,765.0781409601634,22,0
474,475,730.1652264085724,925.5527134462495,22,0
475,476,568.8924173687622,38.71516526247569,23,0
476,477,226.70645402442062,88.81136307002242,23,0
477,478,101.88646995322058,167.681720043181,23,0
478,479,831.9057665260196,179.8267229254571,23,0
479,480,394.43615257048094,293.47512437810946,23,0
480,481,493.59023668639054,335.74038461538464,23,0
481,482,150.34289176090468,411.0492730210016,23,0
482,483,251.9280562234141,442.92306269650453,23,0
483,484,408.55335968379444,423.57707509881425,23,0
484,485,470.1007819287576,458.46741963509993,23,0
485,486,699.4747274529237,488.2933597621407,23,0
486,487,449.6539780521262,519.2678326474622,23,0
487,488,322.92814371257487,525.6314038589487,23,0
488,489,536.1801869158878,527.1775700934579,23,0
489,490,642.6328963051252,571.6323003575685,23,0
490,491,321.80629264594387,616.1539044730856,23,0
491,492,413.6240860215054,658.3509677419355,23,0
492,493,631.7310030395137,694.9629179331307,23,0
493,494,731.3595026642984,924.2181172291297,23,0
494,495,740.9673202614379,949.7875816993464,23,0
495,496,564.6321428571429,36.27597402597402,24,0
496,497,227.7708025603151,89.55539143279172,24,0
497,498,102.89444040697674,164.90715843023256,24,0
498,499,829.7867750070047,177.64079574110394,24,0
499,500,393.6660279222557,294.38324664659183,24,0
500,501,492.3318095238095,335.1295238095238,24,0
501,502,147.81638071895424,413.35253267973854,24,0
502,503,253.2774480712166,441.69213649851633,24,0
503,504,409.82142857142856,422.3961794019934,24,0
504,505,471.9604715672677,456.0513176144244,24,0
505,506,701.1428571428571,489.5730974632844,24,0
506,507,449.31398144967363,519.0346959807626,24,0
507,508,322.3013562686073,527.4320211710221,24,0
508,509,537.0947210782479,528.466866342194,24,0
509,510,642.1661676646706,574.2967065868263,24,0
510,511,324.348167539267,618.4973821989529,24,0
511,512,414.33301297453147,658.1561749159058,24,0
512,513,631.3565586186004,696.6840351408664,24,0
513,514,422.3980582524272,684.8980582524272,24,0
514,515,734.1725304465494,929.8325439783491,24,0
515,516,566.3385163589245,37.56300615484289,25,0
516,517,231.11237038823245,90.02676633711117,25,0
517,518,103.96307804788887,162.4121732772802,25,0
518,519,826.8284495021337,175.27539118065434,25,0
519,520,392.3126355748373,292.39452277657267,25,0
520,521,491.1416791604198,333.7417541229385,25,0
521,522,10.624053030303031,327.24242424242425,25,0
522,523,146.17622123536538,413.2095276544207,25,0
523,524,252.23963302752293,442.2721100917431,25,0
524,525,408.0532978014657,420.9100599600267,25,0
525,526,473.72760072158746,454.11785929043896,25,0
526,527,701.1844315245478,489.8145994832041,25,0
527,528,451.213948787062,520.2075471698113,25,0
528,529,323.2753289473684,528.8305921052631,25,0
529,530,539.2136105860113,529.662381852552,25,0
530,531,643.9514592019059,574.4577129243597,25,0
531,532,324.6823574435515,618.4083429008803,25,0
532,533,415.3004366812227,660.6585152838428,25,0
533,534,628.817587641117,697.9753416518122,25,0
534,535,732.4342577487765,929.668515497553,25,0
535,536,567.0746753246754,40.78181818181818,26,0
536,537,232.73520249221184,89.235082674335,26,0
537,538,103.99443147116939,159.64415304472786,26,0
538,539,824.44859276278,176.75473865594486,26,0
539,540,393.19623149394346,291.3628532974428,26,0
540,541,491.14364844903986,333.428729689808,26,0
541,542,11.357830271216098,326.3105861767279,26,0
542,543,145.2356956434451,412.68540453724154,26,0
543,544,252.37297794117646,442.0685661764706,26,0
544,545,406.0901442307692,422.42247596153845,26,0
545,546,474.1335294117647,459.09470588235297,26,0
546,547,701.0203883495145,492.50388349514566,26,0
547,548,450.8231585932316,519.9671532846716,26,0
548,549,322.64218699450015,529.9990294403106,26,0
549,550,540.934249628529,529.8369242199109,26,0
550,551,643.351160740523,575.8765794886865,26,0
551,552,324.5597436863928,619.154542027893,26,0
552,553,415.4784053156146,662.8289036544851,26,0
553,554,629.5824615384615,699.1175384615385,26,0
554,555,524.0191053122088,768.0782851817335,26,0
555,556,726.3463963963964,926.0716216216216,26,0
556,557,754.108280254777,931.9554140127389,26,0
557,558,745.0460624071322,948.7890044576523,26,0
558,559,569.2724002616089,42.15467625899281,27,0
559,560,234.1731096523219,87.23194748358863,27,0
560,561,104.04457122481726,159.99928686040292,27,0
561,562,825.5366695427092,174.88955996548748,27,0
562,563,394.48825910931174,290.52334682861,27,0
563,564,490.424139235717,331.2943624668937,27,0
564,565,147.12785757637062,413.50374266639693,27,0
565,566,252.72487859544265,440.9196862159133,27,0
566,567,405.6519801980198,422.00049504950493,27,0
567,568,477.39240506329116,458.5998899284535,27,0
568,569,699.0982640026203,491.40288241074353,27,0
569,570,451.1137884872825,518.5930388219545,27,0
570,571,322.28780964797915,529.5524771838332,27,0
571,572,540.2917802882743,531.901051811453,27,0
572,573,642.5886588658866,574.6117611761176,27,0
